Time(Iteration),CUCB_Attack_prop=1,CUCB_Attack_prop=2,CUCB_Attack_prop=3
0,5,10,5
1,5,26,17
2,5,37,21
3,5,38,31
4,13,42,40
5,17,49,56
6,25,56,61
7,25,71,64
8,35,94,76
9,42,109,86
10,48,122,88
11,56,142,91
12,58,168,99
13,61,208,110
14,68,223,111
15,68,241,120
16,88,280,136
17,89,303,152
18,89,315,159
19,89,335,166
20,96,351,173
21,96,372,173
22,101,385,181
23,104,407,186
24,107,416,198
25,107,431,211
26,116,437,220
27,117,456,229
28,119,495,235
29,120,502,246
30,125,524,252
31,129,536,270
32,135,546,276
33,135,553,281
34,137,567,298
35,137,585,298
36,138,605,307
37,138,636,312
38,138,645,312
39,141,656,314
40,141,670,319
41,144,688,320
42,146,701,331
43,146,733,340
44,147,745,363
45,147,763,370
46,159,770,389
47,166,776,410
48,174,801,416
49,174,826,423
50,175,849,440
51,178,860,446
52,181,863,450
53,183,877,451
54,187,896,451
55,187,916,453
56,220,954,459
57,225,974,463
58,235,1010,463
59,239,1036,470
60,239,1060,481
61,265,1073,495
62,281,1109,502
63,304,1121,503
64,328,1121,505
65,353,1139,509
66,369,1159,512
67,386,1166,520
68,393,1188,542
69,402,1203,544
70,415,1216,545
71,422,1223,545
72,428,1251,546
73,437,1282,554
74,440,1298,563
75,444,1312,578
76,445,1334,579
77,447,1351,582
78,471,1370,594
79,477,1374,605
80,481,1402,605
81,514,1418,617
82,530,1442,627
83,533,1448,632
84,547,1456,633
85,554,1474,633
86,555,1480,633
87,573,1497,638
88,576,1514,642
89,578,1529,642
90,579,1541,648
91,590,1562,657
92,590,1573,663
93,607,1599,680
94,607,1613,681
95,623,1623,688
96,643,1642,692
97,647,1673,699
98,656,1681,703
99,668,1691,723
100,683,1706,730
101,715,1732,734
102,717,1741,737
103,726,1741,737
104,728,1760,740
105,736,1767,746
106,746,1777,761
107,760,1806,769
108,762,1824,771
109,764,1831,772
110,768,1838,772
111,777,1846,782
112,790,1860,789
113,791,1874,789
114,796,1906,793
115,800,1938,799
116,805,1947,804
117,809,1950,824
118,819,1982,828
119,842,2016,833
120,843,2028,833
121,867,2034,838
122,876,2072,845
123,887,2082,853
124,905,2104,857
125,909,2123,873
126,913,2131,874
127,925,2143,896
128,929,2153,896
129,931,2168,906
130,946,2182,927
131,957,2208,927
132,961,2234,937
133,961,2257,946
134,965,2269,949
135,994,2290,964
136,1019,2311,973
137,1021,2317,977
138,1029,2349,978
139,1043,2351,982
140,1043,2375,987
141,1049,2391,988
142,1056,2393,992
143,1068,2405,993
144,1084,2422,997
145,1101,2437,997
146,1111,2446,997
147,1113,2475,1006
148,1130,2496,1011
149,1130,2499,1015
150,1139,2512,1016
151,1139,2532,1018
152,1146,2569,1018
153,1158,2579,1019
154,1167,2584,1021
155,1169,2588,1026
156,1169,2613,1037
157,1171,2619,1043
158,1179,2633,1044
159,1179,2635,1045
160,1196,2665,1045
161,1196,2668,1046
162,1212,2694,1048
163,1223,2701,1051
164,1233,2702,1056
165,1233,2728,1057
166,1245,2749,1062
167,1252,2762,1076
168,1257,2783,1081
169,1267,2800,1081
170,1276,2820,1084
171,1286,2839,1085
172,1286,2847,1089
173,1316,2873,1097
174,1324,2895,1098
175,1335,2929,1098
176,1340,2949,1099
177,1342,2959,1106
178,1352,2976,1118
179,1354,3014,1121
180,1377,3024,1128
181,1380,3052,1132
182,1383,3071,1149
183,1385,3089,1150
184,1391,3101,1155
185,1391,3110,1157
186,1428,3125,1157
187,1431,3144,1157
188,1432,3156,1159
189,1453,3177,1163
190,1460,3181,1165
191,1460,3204,1167
192,1460,3217,1180
193,1472,3257,1183
194,1477,3264,1186
195,1491,3270,1187
196,1516,3296,1192
197,1518,3313,1192
198,1520,3319,1199
199,1525,3327,1216
