Time(Iteration),CUCB_Attack_prop=1,CUCB_Attack_prop=2,CUCB_Attack_prop=3
0,6,6,5
1,5,6,6
2,16,5,10
3,10,7,8
4,11,7,11
5,5,6,6
6,14,7,7
7,6,5,9
8,6,6,12
9,5,8,7
10,13,6,8
11,13,7,9
12,13,9,8
13,14,5,6
14,6,6,5
15,6,5,7
16,11,9,7
17,12,5,5
18,14,5,10
19,13,6,9
20,12,5,5
21,6,10,6
22,15,5,5
23,7,6,6
24,5,8,8
25,12,7,8
26,5,7,6
27,12,6,5
28,14,5,6
29,13,5,5
30,5,7,5
31,11,5,7
32,16,8,8
33,9,9,6
34,5,9,7
35,7,22,9
36,14,17,5
37,13,5,20
38,11,9,6
39,9,6,8
40,10,21,7
41,13,6,5
42,6,5,7
43,7,5,13
44,7,20,7
45,7,5,5
46,5,6,7
47,5,7,8
48,13,11,7
49,5,5,5
50,7,5,7
51,17,5,7
52,8,8,14
53,14,7,5
54,7,6,12
55,8,13,5
56,7,6,6
57,5,9,8
58,10,14,14
59,17,6,5
60,5,14,5
61,5,9,6
62,5,22,16
63,15,11,6
64,10,7,10
65,15,5,10
66,10,7,5
67,7,5,12
68,5,9,9
69,14,16,10
70,6,5,7
71,7,5,7
72,7,14,5
73,13,18,16
74,13,8,8
75,5,9,16
76,7,10,7
77,15,6,5
78,5,5,10
79,8,6,9
80,12,13,7
81,7,16,9
82,11,5,8
83,6,18,12
84,10,9,5
85,13,5,6
86,8,14,10
87,7,8,5
88,8,11,5
89,7,13,7
90,12,7,5
91,15,8,9
92,15,8,5
93,14,5,10
94,5,14,5
95,5,8,11
96,16,5,5
97,5,15,10
98,7,5,7
99,13,8,7
100,5,5,9
101,8,19,6
102,9,7,8
103,12,6,7
104,9,15,12
105,6,5,8
106,8,13,5
107,5,6,9
108,20,6,14
109,5,9,13
110,13,8,7
111,9,13,6
112,5,6,8
113,6,21,6
114,5,5,8
115,15,7,5
116,12,6,6
117,10,6,7
118,10,15,7
119,7,6,10
120,8,10,6
121,6,5,7
122,6,20,12
123,6,6,5
124,11,7,5
125,7,14,14
126,11,15,5
127,8,7,7
128,13,8,9
129,12,5,14
130,5,5,5
131,6,12,13
132,15,20,11
133,7,14,6
134,8,9,5
135,13,8,8
136,11,11,8
137,12,9,7
138,5,19,8
139,5,5,12
140,6,9,16
141,12,5,9
142,7,5,6
143,6,12,5
144,5,6,5
145,5,18,7
146,12,14,9
147,11,16,7
148,6,11,6
149,10,10,6
150,5,6,7
151,5,6,5
152,24,19,8
153,6,9,20
154,5,19,5
155,14,13,5
156,11,5,5
157,14,10,5
158,8,22,8
159,5,9,11
160,15,16,9
161,5,17,8
162,6,15,7
163,13,11,7
164,14,5,6
165,5,11,6
166,19,5,20
167,6,12,5
168,13,6,16
169,5,8,5
170,11,6,8
171,5,19,8
172,13,14,16
173,7,24,6
174,7,5,5
175,5,14,16
176,6,9,7
177,5,5,7
178,5,5,7
179,15,6,8
180,7,10,5
181,6,20,6
182,7,14,7
183,7,10,6
184,7,8,10
185,5,5,12
186,5,9,12
187,6,5,5
188,5,5,5
189,7,23,5
190,11,14,6
191,16,5,5
192,10,5,10
193,7,6,5
194,7,6,5
195,7,6,5
196,13,7,7
197,7,5,6
198,14,8,6
199,5,11,5
200,12,5,5
201,5,9,9
202,12,9,7
203,16,5,5
204,8,20,15
205,13,12,6
206,10,13,5
207,14,10,5
208,6,14,13
209,12,7,7
210,6,16,7
211,13,11,5
212,10,10,5
213,14,11,6
214,15,5,6
215,7,8,8
216,12,12,10
217,13,14,5
218,7,11,5
219,7,5,5
220,6,10,15
221,6,8,5
222,6,5,6
223,5,13,5
224,13,5,6
225,9,5,5
226,6,5,5
227,6,5,13
228,6,6,6
229,6,12,19
230,9,6,6
231,14,11,5
232,8,5,5
233,12,14,9
234,10,8,8
235,7,7,8
236,15,7,5
237,14,11,15
238,12,5,5
239,6,6,8
240,9,15,6
241,6,11,7
242,5,13,8
243,6,5,7
244,6,18,7
245,9,13,5
246,11,5,15
247,6,11,7
248,8,11,8
249,7,13,7
250,5,13,5
251,7,12,6
252,8,12,6
253,5,21,6
254,5,16,5
255,13,16,6
256,6,8,5
257,10,6,6
258,5,6,5
259,5,5,16
260,5,14,5
261,6,7,5
262,10,9,5
263,7,16,6
264,6,5,5
265,8,5,8
266,6,18,6
267,5,13,13
268,14,5,13
269,7,12,8
270,6,9,6
271,5,9,7
272,5,5,7
273,8,6,7
274,7,8,5
275,8,9,6
276,5,6,5
277,5,6,7
278,5,10,5
279,7,12,9
280,12,16,8
281,5,12,5
282,12,5,5
283,6,5,5
284,7,8,6
285,5,23,14
286,7,5,13
287,13,17,8
288,6,6,8
289,7,5,7
290,13,11,6
291,6,12,6
292,11,5,6
293,10,12,7
294,5,10,6
295,8,9,16
296,7,6,8
297,11,18,6
298,5,6,6
299,6,10,5
300,7,5,8
301,7,13,15
302,7,5,9
303,6,5,7
304,5,10,5
305,13,13,10
306,7,5,13
307,6,5,8
308,10,13,5
309,10,5,5
310,8,13,6
311,5,10,7
312,7,14,6
313,11,6,5
314,10,17,7
315,9,7,5
316,10,7,8
317,5,18,5
318,5,25,8
319,5,15,5
320,15,5,5
321,12,6,5
322,17,9,5
323,6,6,6
324,6,5,16
325,12,8,5
326,11,5,11
327,8,5,14
328,6,13,5
329,6,16,9
330,7,5,16
331,9,5,15
332,10,10,8
333,5,5,6
334,8,5,7
335,14,11,5
336,7,7,5
337,15,6,5
338,6,5,7
339,6,13,6
340,5,11,6
341,5,20,7
342,6,19,5
343,10,22,16
344,5,21,12
345,6,5,7
346,9,9,15
347,5,5,10
348,5,16,6
349,5,5,6
350,6,5,5
351,6,15,7
352,6,9,6
353,14,10,6
354,7,5,14
355,5,13,11
356,6,6,6
357,5,10,5
358,5,5,7
359,6,7,13
360,6,11,13
361,7,5,5
362,6,10,5
363,13,8,5
364,6,10,6
365,7,9,5
366,10,5,8
367,7,13,5
368,10,14,7
369,6,5,14
370,6,5,10
371,5,15,15
372,5,9,12
373,16,11,9
374,7,14,5
375,7,13,5
376,5,5,5
377,10,13,7
378,5,10,11
379,16,8,9
380,7,5,13
381,5,7,7
382,6,6,14
383,7,5,5
384,5,5,6
385,6,9,23
386,12,12,8
387,15,14,6
388,10,7,19
389,8,7,6
390,5,6,6
391,5,19,5
392,14,13,5
393,5,9,6
394,5,5,11
395,6,8,7
396,5,9,5
397,9,7,7
398,6,6,13
399,9,5,8
400,12,7,10
401,12,10,6
402,11,18,9
403,8,13,5
404,5,5,12
405,7,5,6
406,11,5,8
407,5,10,10
408,5,11,7
409,5,16,5
410,6,5,5
411,8,7,6
412,5,12,6
413,13,9,5
414,9,14,14
415,13,9,11
416,5,6,5
417,7,5,6
418,13,7,15
419,6,5,14
420,11,5,10
421,6,5,5
422,13,12,8
423,7,5,13
424,6,16,7
425,6,6,5
426,8,5,6
427,13,10,5
428,6,5,14
429,8,5,9
430,15,5,5
431,7,9,11
432,6,6,10
433,6,6,14
434,14,6,15
435,5,5,6
436,11,5,12
437,7,23,5
438,13,6,9
439,8,13,17
440,5,7,10
441,8,6,5
442,6,14,16
443,5,6,7
444,5,6,6
445,5,10,6
446,6,14,8
447,6,12,5
448,5,7,6
449,9,9,6
450,11,12,8
451,8,27,16
452,5,13,5
453,14,10,5
454,6,6,22
455,7,6,5
456,8,6,12
457,5,5,17
458,6,6,5
459,5,6,8
460,9,16,6
461,14,12,6
462,7,7,5
463,12,6,16
464,10,9,6
465,5,14,15
466,6,9,6
467,8,12,16
468,8,13,6
469,6,5,17
470,6,11,5
471,6,5,5
472,7,7,7
473,5,8,10
474,8,5,15
475,5,7,6
476,18,9,6
477,11,11,5
478,6,10,8
479,10,6,6
480,5,19,8
481,8,6,5
482,6,5,13
483,5,6,5
484,5,6,16
485,5,6,8
486,6,10,6
487,6,14,5
488,11,5,8
489,12,11,21
490,10,10,18
491,12,10,8
492,5,5,5
493,13,19,13
494,17,7,5
495,7,12,15
496,7,17,14
497,5,6,13
498,13,5,7
499,5,6,8
500,6,17,5
501,6,20,7
502,11,11,6
503,5,25,5
504,12,10,5
505,9,19,5
506,6,5,7
507,6,5,16
508,5,5,5
509,8,8,5
510,9,5,21
511,8,6,5
512,5,7,5
513,10,5,7
514,5,10,5
515,5,7,5
516,5,5,7
517,5,26,6
518,5,8,7
519,8,5,9
520,13,12,5
521,13,11,15
522,15,16,7
523,14,6,6
524,6,11,5
525,13,5,15
526,6,5,5
527,5,6,5
528,5,18,7
529,9,13,6
530,9,5,19
531,5,6,5
532,5,8,6
533,10,12,12
534,5,9,9
535,6,10,5
536,5,13,5
537,5,7,5
538,12,13,6
539,10,5,9
540,6,5,6
541,6,17,5
542,7,5,6
543,11,13,11
544,7,7,7
545,5,5,5
546,7,15,10
547,7,5,6
548,7,11,5
549,6,19,5
550,7,7,6
551,5,5,5
552,13,5,5
553,5,12,6
554,8,9,8
555,10,14,6
556,5,7,7
557,5,6,7
558,6,9,5
559,5,20,6
560,6,13,7
561,6,12,7
562,14,5,6
563,5,5,14
564,7,5,14
565,13,6,5
566,13,12,5
567,8,5,6
568,12,9,10
569,8,6,5
570,5,11,5
571,11,6,8
572,5,12,6
573,8,6,5
574,8,6,7
575,5,11,5
576,5,6,23
577,6,5,6
578,7,6,7
579,5,5,5
580,5,7,7
581,7,5,7
582,11,5,15
583,5,9,8
584,13,14,7
585,5,5,5
586,5,7,6
587,12,16,11
588,6,9,6
589,15,5,6
590,5,10,6
591,13,10,7
592,5,8,7
593,6,5,5
594,14,12,6
595,7,6,10
596,11,6,7
597,6,5,7
598,7,8,7
599,8,12,5
600,5,9,15
601,11,6,5
602,5,7,12
603,5,6,6
604,13,5,5
605,6,5,13
606,6,5,6
607,6,6,6
608,6,5,5
609,6,5,5
610,5,7,6
611,6,5,5
612,5,15,6
613,13,8,6
614,7,13,7
615,9,11,6
616,7,6,6
617,5,5,19
618,5,12,5
619,5,5,5
620,5,5,5
621,7,5,6
622,13,5,7
623,5,10,5
624,13,6,7
625,5,6,9
626,11,6,6
627,14,11,5
628,15,5,6
629,5,5,5
630,12,5,6
631,12,5,17
632,11,10,6
633,7,7,5
634,10,5,6
635,5,5,5
636,6,8,5
637,5,7,5
638,11,10,13
639,11,5,5
640,5,5,8
641,7,6,5
642,5,5,5
643,6,6,14
644,9,10,8
645,6,5,6
646,6,7,13
647,6,5,19
648,5,13,16
649,6,5,6
650,13,7,5
651,5,18,7
652,5,5,8
653,6,7,7
654,5,5,5
655,6,8,5
656,5,5,5
657,12,10,8
658,5,8,5
659,6,13,7
660,6,6,5
661,5,7,5
662,8,7,5
663,10,9,5
664,5,12,6
665,5,6,7
666,11,10,5
667,6,5,6
668,7,5,16
669,9,13,5
670,5,7,20
671,5,13,5
672,13,6,7
673,7,7,14
674,8,14,13
675,5,5,6
676,11,10,5
677,6,5,7
678,6,8,7
679,5,8,7
680,6,5,14
681,6,6,6
682,5,6,7
683,13,23,6
684,5,6,6
685,5,15,5
686,5,6,6
687,6,5,5
688,8,7,10
689,5,8,5
690,5,5,10
691,5,11,5
692,10,5,5
693,6,5,12
694,7,6,5
695,5,16,6
696,6,7,6
697,5,13,6
698,6,15,5
699,6,5,19
700,8,5,8
701,8,16,5
702,5,8,5
703,6,5,6
704,5,8,6
705,7,6,5
706,5,5,5
707,15,10,8
708,5,6,7
709,6,19,16
710,7,5,7
711,10,5,5
712,5,6,5
713,6,5,5
714,7,11,14
715,5,5,5
716,5,5,5
717,5,8,5
718,9,6,6
719,14,6,6
720,5,5,5
721,14,5,5
722,6,12,6
723,7,7,5
724,14,5,10
725,5,6,5
726,6,5,6
727,7,7,10
728,7,5,6
729,13,7,14
730,5,5,5
731,6,6,5
732,5,5,8
733,12,6,8
734,13,7,5
735,5,5,15
736,9,5,5
737,5,9,18
738,18,14,5
739,7,5,6
740,5,10,5
741,5,5,6
742,13,5,5
743,6,5,9
744,5,6,6
745,6,5,5
