Time(Iteration),CUCB_Attack_prop=1,CUCB_Attack_prop=2,CUCB_Attack_prop=3
0,0,0,5
1,5,0,5
2,5,0,5
3,11,16,5
4,14,21,5
5,14,21,26
6,22,24,28
7,36,37,31
8,43,47,44
9,43,56,63
10,51,66,74
11,66,80,85
12,75,80,97
13,87,92,98
14,91,93,107
15,99,93,119
16,104,109,143
17,107,115,153
18,107,126,153
19,128,142,162
20,144,147,164
21,157,158,170
22,166,169,175
23,167,171,190
24,177,172,190
25,177,183,195
26,181,186,196
27,197,197,204
28,207,198,229
29,218,199,231
30,223,200,244
31,236,212,258
32,242,216,269
33,242,229,271
34,253,240,277
35,267,243,290
36,268,255,305
37,268,259,311
38,274,259,323
39,286,261,323
40,300,263,336
41,300,264,342
42,305,267,369
43,315,269,382
44,321,275,397
45,337,277,406
46,348,285,406
47,358,285,424
48,378,296,427
49,379,298,440
50,388,303,441
51,398,303,453
52,422,306,456
53,430,306,472
54,430,306,489
55,434,319,489
56,440,319,509
57,440,319,509
58,452,322,509
59,466,325,520
60,471,326,527
61,477,328,540
62,484,344,541
63,494,350,541
64,496,353,555
65,506,353,555
66,509,357,562
67,512,357,567
68,516,357,585
69,527,357,594
70,531,365,597
71,535,366,597
72,544,375,608
73,554,380,635
74,562,398,635
75,572,398,638
76,578,398,663
77,581,400,680
78,593,403,685
79,593,412,695
80,609,421,700
81,633,421,704
82,653,422,710
83,661,423,731
84,665,423,731
85,671,434,738
86,675,439,739
87,690,439,740
88,710,451,740
89,712,452,743
90,732,454,743
91,734,456,748
92,751,460,748
93,758,460,755
94,769,461,756
95,775,463,758
96,807,463,758
97,818,473,759
98,821,474,760
99,825,474,761
100,842,476,780
101,852,482,781
102,861,483,786
103,896,483,786
104,913,487,800
105,925,488,812
106,927,494,835
107,942,494,840
108,956,494,849
109,967,496,859
110,977,498,866
111,994,512,871
112,1004,515,871
113,1024,517,889
114,1047,521,915
115,1051,523,915
116,1064,534,915
117,1065,535,937
118,1075,535,954
119,1076,542,975
120,1094,543,976
121,1103,543,976
122,1126,552,978
123,1134,555,978
124,1143,558,988
125,1152,558,988
126,1156,567,999
127,1165,567,1000
128,1186,569,1006
129,1194,569,1016
130,1204,569,1021
131,1214,573,1030
132,1216,575,1039
133,1237,577,1046
134,1241,577,1048
135,1241,580,1050
136,1251,581,1051
137,1272,584,1052
138,1281,585,1060
139,1285,593,1070
140,1291,594,1077
141,1306,594,1077
142,1329,594,1082
143,1334,595,1082
144,1350,595,1095
145,1361,595,1114
146,1365,597,1115
147,1376,597,1117
148,1382,598,1139
149,1391,600,1141
150,1395,600,1143
151,1400,600,1147
152,1418,614,1152
153,1443,621,1160
154,1452,622,1167
155,1461,622,1178
156,1475,623,1186
157,1478,623,1186
158,1482,626,1198
159,1499,628,1198
160,1503,628,1202
161,1516,632,1219
162,1520,634,1221
163,1521,634,1228
164,1541,637,1228
165,1549,638,1230
166,1586,640,1236
167,1598,645,1238
168,1611,655,1238
169,1619,656,1239
170,1623,656,1255
171,1657,662,1263
172,1678,662,1266
173,1695,663,1268
174,1714,663,1269
175,1714,663,1269
176,1724,666,1277
177,1745,678,1283
178,1755,679,1284
179,1765,680,1284
180,1778,697,1287
181,1787,700,1290
182,1801,700,1292
183,1805,700,1305
184,1811,701,1306
185,1835,701,1317
186,1846,702,1326
187,1846,705,1326
188,1876,707,1332
189,1876,719,1332
190,1876,729,1344
191,1900,731,1345
192,1908,733,1347
193,1915,745,1347
194,1936,759,1367
195,1941,759,1371
196,1946,759,1381
197,1957,761,1387
198,1960,762,1402
199,1973,766,1404
200,1983,766,1414
201,1997,780,1414
202,2000,781,1424
203,2015,793,1434
204,2016,793,1434
205,2017,800,1443
206,2017,802,1443
207,2022,811,1443
208,2025,817,1464
209,2034,819,1466
210,2045,819,1467
211,2056,822,1472
212,2070,824,1472
213,2094,824,1473
214,2097,834,1475
215,2102,835,1477
216,2115,845,1483
217,2115,845,1483
218,2131,845,1489
219,2131,852,1491
220,2148,853,1512
221,2148,864,1528
222,2150,876,1544
223,2172,877,1549
224,2173,877,1560
225,2178,878,1572
226,2178,878,1585
227,2180,886,1593
228,2193,888,1601
229,2217,892,1602
230,2235,892,1617
231,2244,895,1626
232,2261,896,1627
233,2265,896,1627
234,2293,897,1637
235,2310,897,1656
236,2316,897,1667
237,2317,901,1667
238,2331,901,1668
239,2333,903,1669
240,2352,903,1685
241,2352,903,1698
242,2352,905,1722
243,2358,914,1727
244,2368,917,1736
245,2385,918,1736
246,2395,928,1742
247,2395,929,1744
248,2408,929,1746
249,2443,932,1760
250,2471,932,1766
251,2493,933,1785
252,2513,934,1807
253,2518,934,1807
254,2519,935,1813
255,2549,935,1820
256,2594,935,1827
257,2616,936,1829
258,2620,941,1837
259,2637,950,1845
260,2649,951,1858
261,2651,953,1869
262,2662,954,1870
263,2677,965,1881
264,2689,965,1903
265,2694,966,1913
266,2707,969,1919
267,2722,970,1936
268,2730,974,1942
269,2754,978,1957
270,2775,979,1959
271,2793,982,1987
272,2802,983,1998
273,2803,985,2006
274,2810,985,2014
275,2829,996,2020
276,2859,996,2047
277,2863,996,2052
278,2864,999,2068
279,2873,999,2082
280,2875,999,2091
281,2877,999,2112
282,2883,1002,2114
283,2902,1003,2117
284,2902,1005,2126
285,2904,1014,2152
286,2906,1014,2153
287,2916,1016,2154
288,2916,1020,2175
289,2940,1023,2187
290,2964,1023,2197
291,2964,1024,2203
292,2965,1025,2221
293,2966,1027,2246
294,2975,1029,2255
295,2985,1040,2272
296,3001,1040,2279
297,3008,1041,2297
298,3017,1043,2302
299,3031,1043,2310
300,3031,1055,2312
301,3044,1056,2316
302,3049,1058,2333
303,3049,1058,2341
304,3055,1058,2342
305,3058,1058,2349
306,3068,1059,2359
307,3091,1061,2371
308,3091,1062,2379
309,3106,1078,2389
310,3138,1080,2405
311,3138,1080,2427
312,3151,1083,2429
313,3156,1083,2439
314,3176,1083,2457
315,3177,1097,2468
316,3195,1101,2482
317,3215,1103,2495
318,3219,1103,2503
319,3243,1103,2512
320,3273,1104,2529
321,3298,1105,2534
322,3305,1105,2544
323,3324,1115,2551
324,3328,1116,2561
325,3367,1116,2585
326,3379,1118,2591
327,3379,1123,2599
328,3389,1123,2599
329,3390,1125,2616
330,3390,1126,2618
331,3398,1127,2622
332,3406,1127,2635
333,3418,1128,2645
334,3440,1128,2661
335,3466,1129,2667
336,3466,1130,2675
337,3491,1130,2683
338,3519,1130,2695
339,3535,1130,2696
340,3566,1130,2716
341,3566,1130,2724
342,3574,1132,2730
343,3581,1137,2745
344,3602,1140,2767
345,3604,1140,2778
346,3620,1140,2787
347,3637,1141,2803
348,3668,1141,2816
349,3680,1142,2817
350,3697,1142,2827
351,3701,1144,2843
352,3738,1145,2851
353,3740,1145,2871
354,3766,1158,2886
355,3776,1158,2889
356,3782,1165,2899
357,3783,1167,2916
358,3795,1167,2934
359,3805,1167,2947
360,3814,1167,2961
361,3824,1169,2962
362,3829,1171,2971
363,3841,1171,2988
364,3841,1173,2995
365,3868,1176,2999
366,3895,1178,3003
367,3900,1179,3022
368,3920,1181,3040
369,3938,1181,3049
370,3956,1192,3049
371,3975,1193,3049
372,3986,1196,3052
373,3999,1202,3064
374,4011,1202,3070
375,4020,1202,3071
376,4032,1203,3089
377,4039,1204,3097
378,4039,1204,3098
379,4055,1204,3103
380,4075,1204,3105
381,4087,1204,3107
382,4087,1204,3116
383,4108,1204,3118
384,4117,1206,3133
385,4131,1206,3139
386,4150,1210,3155
387,4165,1211,3156
388,4170,1212,3161
389,4180,1213,3161
390,4189,1214,3170
391,4197,1214,3185
392,4200,1215,3185
393,4202,1216,3189
394,4222,1225,3190
395,4232,1228,3192
396,4239,1229,3193
397,4253,1229,3208
398,4266,1229,3210
399,4290,1235,3211
400,4304,1236,3218
401,4304,1236,3218
402,4326,1243,3228
403,4330,1244,3230
404,4358,1244,3232
405,4364,1244,3250
406,4367,1244,3251
407,4388,1245,3252
408,4397,1245,3252
409,4398,1245,3263
410,4403,1245,3264
411,4412,1245,3272
412,4414,1246,3273
413,4417,1253,3273
414,4443,1253,3276
415,4484,1254,3277
416,4500,1254,3287
417,4501,1260,3289
418,4502,1261,3310
419,4523,1262,3312
420,4528,1264,3312
421,4539,1265,3312
422,4545,1265,3317
423,4551,1266,3317
424,4555,1266,3319
425,4566,1266,3320
426,4569,1277,3320
427,4581,1278,3320
428,4581,1278,3320
429,4586,1279,3321
430,4595,1279,3329
431,4595,1280,3330
432,4610,1280,3330
433,4626,1280,3330
434,4637,1281,3333
435,4660,1283,3339
436,4685,1284,3340
437,4693,1286,3340
438,4704,1290,3340
439,4707,1291,3342
440,4728,1291,3343
441,4740,1293,3346
442,4749,1293,3351
443,4752,1293,3366
444,4775,1293,3372
445,4785,1296,3381
446,4787,1299,3381
447,4799,1299,3393
448,4816,1299,3396
449,4817,1299,3401
450,4833,1300,3403
451,4833,1300,3403
452,4837,1308,3403
453,4860,1308,3403
454,4877,1308,3404
455,4882,1309,3405
456,4886,1312,3412
457,4898,1312,3413
458,4912,1321,3422
459,4926,1321,3425
460,4935,1321,3427
461,4942,1321,3429
462,4958,1321,3431
463,4976,1321,3431
464,4979,1323,3431
465,4980,1324,3436
466,4996,1325,3436
467,5014,1325,3437
468,5040,1325,3437
469,5068,1326,3442
470,5068,1334,3449
471,5072,1335,3451
472,5097,1335,3453
473,5118,1335,3462
474,5134,1335,3463
475,5136,1335,3481
476,5145,1341,3483
477,5163,1351,3495
478,5171,1352,3495
479,5178,1353,3495
480,5191,1355,3497
481,5199,1356,3523
482,5199,1356,3523
483,5202,1356,3528
484,5206,1356,3528
485,5209,1356,3528
486,5209,1356,3531
487,5220,1356,3531
488,5271,1356,3531
489,5275,1357,3531
490,5300,1357,3531
491,5302,1357,3538
492,5304,1367,3538
493,5316,1367,3542
494,5329,1369,3556
495,5344,1370,3557
496,5345,1371,3558
497,5347,1372,3558
498,5350,1372,3559
499,5364,1372,3559
500,5369,1373,3565
501,5391,1373,3565
502,5403,1374,3569
503,5413,1374,3590
504,5431,1374,3613
505,5454,1374,3618
506,5478,1374,3620
507,5496,1374,3620
508,5509,1375,3622
509,5517,1375,3622
510,5517,1375,3623
511,5521,1385,3625
512,5527,1386,3625
513,5536,1386,3637
514,5546,1386,3637
515,5549,1387,3649
516,5549,1387,3649
517,5555,1396,3649
518,5556,1398,3652
519,5557,1398,3653
520,5560,1399,3655
521,5601,1401,3663
522,5614,1404,3665
523,5625,1404,3666
524,5651,1406,3667
525,5677,1407,3669
526,5699,1407,3669
527,5715,1407,3677
528,5720,1408,3677
529,5730,1421,3685
530,5735,1421,3685
531,5749,1421,3689
532,5768,1422,3689
533,5770,1422,3691
534,5783,1422,3692
535,5783,1423,3692
536,5795,1424,3693
537,5806,1425,3694
538,5812,1425,3695
539,5815,1427,3700
540,5825,1428,3701
541,5835,1429,3703
542,5848,1431,3705
543,5850,1432,3724
544,5860,1446,3730
545,5872,1447,3732
546,5877,1447,3743
547,5877,1456,3752
548,5886,1456,3755
549,5888,1456,3765
550,5903,1457,3770
551,5903,1457,3770
552,5906,1458,3770
553,5915,1458,3773
554,5916,1463,3775
555,5924,1465,3776
556,5935,1467,3795
557,5939,1469,3803
558,5945,1472,3804
559,5946,1472,3810
560,5966,1476,3813
561,5975,1486,3815
562,5977,1486,3815
563,5979,1487,3815
564,5984,1487,3816
565,6000,1489,3816
566,6015,1489,3817
567,6036,1489,3817
568,6037,1490,3820
569,6053,1490,3825
570,6056,1490,3833
571,6065,1490,3833
572,6070,1490,3841
573,6075,1490,3848
574,6081,1493,3855
575,6089,1494,3857
576,6089,1494,3866
577,6095,1494,3873
578,6100,1494,3874
579,6107,1494,3878
580,6108,1494,3887
581,6115,1494,3888
582,6129,1495,3902
583,6153,1495,3903
584,6153,1495,3904
585,6159,1495,3905
586,6162,1495,3905
587,6184,1497,3908
588,6189,1507,3908
589,6217,1508,3917
590,6220,1509,3918
591,6229,1511,3919
592,6251,1512,3922
593,6261,1513,3922
594,6283,1533,3923
595,6284,1537,3923
596,6289,1539,3925
597,6289,1539,3925
598,6289,1550,3926
599,6298,1552,3930
600,6301,1552,3930
601,6305,1552,3931
602,6310,1556,3942
603,6310,1557,3943
604,6310,1557,3946
605,6321,1557,3946
606,6325,1557,3954
607,6328,1557,3957
608,6344,1557,3958
609,6344,1558,3959
610,6367,1571,3959
611,6374,1581,3959
612,6385,1581,3959
613,6390,1581,3960
614,6402,1583,3962
615,6418,1602,3962
616,6427,1602,3975
617,6441,1605,3975
618,6447,1605,3977
619,6459,1607,3978
620,6459,1608,3978
621,6470,1623,3978
622,6471,1623,3996
623,6495,1625,4006
624,6496,1628,4011
625,6515,1644,4012
626,6516,1644,4012
627,6525,1645,4023
628,6548,1645,4050
629,6550,1646,4050
630,6556,1670,4051
631,6571,1677,4051
632,6574,1677,4057
633,6590,1678,4057
634,6594,1687,4057
635,6601,1687,4057
636,6612,1707,4060
637,6613,1711,4068
638,6624,1711,4068
639,6624,1711,4074
640,6637,1717,4074
641,6656,1717,4074
642,6656,1717,4074
643,6656,1718,4074
644,6660,1719,4074
645,6673,1721,4079
646,6676,1721,4081
647,6685,1721,4081
648,6685,1721,4092
649,6689,1722,4101
650,6719,1724,4109
651,6719,1734,4111
652,6729,1748,4113
653,6760,1750,4113
654,6760,1750,4113
655,6771,1751,4113
656,6772,1753,4116
657,6773,1753,4116
658,6786,1754,4116
659,6804,1760,4121
660,6818,1763,4124
661,6833,1763,4124
662,6839,1764,4126
663,6839,1764,4131
664,6846,1764,4132
665,6850,1773,4132
666,6850,1773,4133
667,6866,1785,4133
668,6886,1786,4134
669,6897,1794,4142
